speaker,speaker_confidence,text,target,sentiment,category,summary
남희두,0.95,잘지냈어?,None,neutral,greeting,상대방에게 잘 지냈는지 묻는 인사말.
이나연,0.95,ㅎㅎㅎㅎㅎ,,neutral,no_speech,웃음
남희두,0.95,당연히,None,neutral,response,상대방의 말에 동의하는 반응
이나연,0.95,왜 이렇게 살 빠졌어?,None,neutral,question,상대방의 외모 변화에 대한 질문
남희두,0.95,살 많이 빠졌지. 운동 열심히 해서 요즘,None,neutral,appearance,남희두가 자신의 외모 변화에 대해 언급하며 운동을 열심히 하고 있음을 드러냄.
이나연,0.95,되게,,neutral,filler,"문장 중간에 사용된 감탄사로, 특별한 감정이나 의도를 나타내지 않음"
남희두,0.95,응?,,neutral,response,상대방의 발언에 대한 단순 반응
이나연,0.95,멋있어졌다.,None,positive,칭찬,상대방의 외모나 능력에 대해 칭찬하는 발언.
이나연,0.95,왜 이렇게 어색하냐? 오랜만에 봐서 그런가?,None,negative,불만,오랜만에 만난 대상과의 어색함에 대한 불만
남희두,0.95,어색하지 오랜만이니까.,None,neutral,greeting,오랜만에 만난 상황에 대한 어색함을 표현하는 발언
이나연,0.95,딴 사람 같애,None,negative,attention,화자는 누군가가 이전과 달라졌다고 언급하며 부정적인 감정을 드러냄.
이나연,0.95,나도 다른 사람 같아.,None,negative,emotion_polarity,화자가 현재 자신의 상태에 대해 부정적인 감정을 느끼고 있음을 드러냄.
이나연,0.95,나 달라진 거 없어?,None,neutral,attention,자신에게 변화가 있는지 질문하며 상대방의 관심을 유도하는 발언
남희두,0.95,이뻐졌네.,이나연,positive,compliment,외모에 대한 칭찬
남희두,0.95,끝?,None,neutral,question,상대방에게 대화나 상황이 종료되었는지 묻는 질문
남희두,0.95,그럼 뭐 더 있어야 돼?,None,neutral,question,상대방에게 필요한 것이 더 있는지 묻는 질문
이나연,0.95,"아니, 많이 달라졌잖아. 아니, 뭐 머리도 그래.",남희두,negative,appearance,상대방의 외모 변화에 대한 언급과 부정적인 감정 표현
이나연,0.95,그거밖에 없나보네.,None,neutral,none,상황에 대한 체념 또는 단정적인 반응을 보이는 발언
남희두,0.95,"만약, 이게 방송 아니었으면 다 연락했을 것 같아.?",None,neutral,speculation,방송이 아니었다면 출연자들에게 연락했을 것이라는 가정
이나연,0.95,모르겠다.,None,neutral,uncertainty,화자가 현재 상황에 대해 확신이 없거나 판단을 내리기 어려워하는 감정을 표현함.
이나연,0.95,나는 사실 그때는 네가 좀 보고 싶기도 했고,남희두,positive,attention,전 연인에 대한 그리움을 표현하는 발언
남희두,0.95,아 연락하고 싶었어?,이나연,positive,initiative,상대방에게 연락하고 싶었다는 의사를 표현하며 호감을 드러냄.
남희두,0.95,어..,,neutral,response,상대방의 발언에 대한 단순 반응
남희두,0.95,잘 지내는지?,None,neutral,question,상대방의 현재 상태를 묻는 질문
이나연,0.95,"응, 경기 잘했는지?",남희두,neutral,question,남희두의 경기 결과를 묻는 질문
남희두,0.95,"맨 처음 본 거는 수업 듣고 있는데, 강의실 문 열리면서 혼자 마지막으로 들어온 거예요. 회색 카디건에 그 하트 모양 들어간 가디건이 입고, 태블릿 PC랑 이런 거 이렇게 들고 딱 들어오는데, 그 모습이 생생히 기억나요.",이나연,positive,attention,이나연의 첫인상에 대한 긍정적 묘사
남희두,0.95,그게 첫 만남이었어요,None,neutral,memory,첫 만남에 대한 회상
이나연,0.95,희두가 근데 워낙 그 인상이 강하잖아요. 존재감이 강하니까 어딜 가도 좀 눈에 띄었어요.,남희두,positive,attention,남희두의 강한 인상과 존재감에 대해 긍정적으로 언급하며 관심을 표현함.
남희두,0.95,그래서 지나갈 때마다 뭐야 저 키 크고 잘생긴 사람,남희두,positive,attention,자신을 잘생겼다고 칭찬하는 발언
남희두,0.95,동기들 사이에서도 서로 알고 있었어요.,None,neutral,information,남희두는 동기들 사이에서 서로 알고 있었다는 정보를 제공하고 있다.
남희두,0.95,이뻐가지고. 그래서 제거,None,positive,compliment,외모에 대한 칭찬
남희두,0.95,"아, 제가 한 번 말을 걸어야 되는데",None,neutral,initiative,상대방에게 말을 걸어야겠다는 생각을 드러냄.
이나연,0.95,희두한테는 몰랐다고 했는데 이제 알게 되기 완전 전에도 한번 희두랑 지하철을 같이 탄 적이 있거든요.,남희두,neutral,attention,과거 남희두와 지하철을 같이 탔던 경험을 회상하며 언급함.
이나연,0.95,저랑 몇 정거장 안 차이 났거든요. 우리 집 근처 사네 이러면서 계속 구경하면서 봤어요. 본인은 모를 걸요. 생각해보면 운명인가? ㅎㅎㅎ,남희두,positive,attention,"남희두에 대한 호감을 드러내며, 남희두를 몰래 지켜봤던 상황을 회상하며 운명이라고 생각함."
남희두,0.95,2018년도 1월 1일이었는데 원래 SNS로는 친구가 돼 있었어 가지고 보낼까 말까 하다가 그냥 진짜 편하게 '새해 복 많이 받으세요 누나 나연이 누나 맞죠?' 이런 식으로 잘 보냈었죠.,이나연,positive,attention,과거 이나연에게 편하게 새해 인사를 보냈던 경험을 회상하며 호감을 드러냄.
이나연,0.95,어 희두도 새해 복 많이 받아 이렇게 연락을 이어갔어요.,남희두,positive,attention,"남희두에게 새해 인사를 건네며 연락을 이어갔다는 내용으로, 긍정적인 감정이 드러난다."
남희두,0.95,평창 올림픽 직전에 신천에 있었거든요.,,neutral,event,과거 특정 장소에 있었던 경험을 회상하는 발언
남희두,0.95,근데 그때 이제 연락을 주고 받고 있었는데,None,neutral,attention,과거 연락을 주고받았던 상황을 회상하는 발언
이나연,0.95,막 만나지도 못하는 상황인데 계속 연락하고 전화하고 그래서 썸을 조금 길게 탔어요. 한 달 넘게?,None,neutral,reminiscence,만나지 못하는 상황에서 한 달 넘게 연락을 주고받으며 썸을 탔던 과거를 회상하고 있다.
남희두,0.95,저 끝나고 서울 가서 보자 그 약속을 미리 잡고 서울 가서 봤죠.,이나연,neutral,event,과거에 서울에서 이나연과 만나기로 약속하고 실제로 만났던 사실을 언급함.
이나연,0.95,"회색 코트를 입고 들어왔어요. 너무 잘생긴 거예요. 만나자마자 아, 내 남자다.",None,positive,attention,상대방의 외모에 대한 칭찬과 호감을 표현하며 '내 남자다'라고 언급.
이나연,0.95,"어, 멋있네. 그러고 만났죠.",None,positive,칭찬,상대방의 외모에 대한 칭찬
이나연,0.95,처음엔 제가 선배니까 존댓말을 했어요 희두가. 존댓말을 하다가 자기 마음대로 반말을 하다가 자기 마음대로 나연아라고 부르더라고요. 내가 그게 또 싫지 않았어.,남희두,positive,attention,남희두가 이나연에게 반말을 하는 것에 대해 싫지 않았다고 언급하며 호감을 드러냄.
이나연,0.95,그게 또 사람들이 말하는 연하의 매력이 뭔지 좀 느끼게 해주더라고요. 맨날 밥 먹었어 나연아? 이러면 뭐래 왜 나연이래 어린게. 이런 설렘?,남희두,positive,attention,남희두의 행동에 대해 설렘을 느낌
남희두,0.95,제일 기억에 남는 건 일단 을왕리 갔던 그게 제일 기억에 남아요. 그때 좀 진짜 행복했었던 것 같아요.,None,positive,memory,을왕리에서 행복했던 기억을 회상하며 긍정적인 감정을 표현함.
이나연,0.95,짱 좋아! 진짜 너무 좋았어요. 같이 불꽃놀이 하는 걸 찍으면서 담기는 목소리가 너무 행복한 거예요.,,positive,emotion_expression,불꽃놀이를 함께하며 행복함을 느낌
이나연,0.95,"뭐 희두은 다 귀엽더라구요. 뭐 코를 파도 귀엽고, 밥 먹다가 이에 뭐가 껴도 귀엽고, 그래서 아 뭘 해도 좋은 사람이 이거구나 알게 해준 느낌?",남희두,positive,attention,"남희두의 모든 행동이 귀엽게 느껴질 정도로 호감을 표현하며, 좋은 사람이라는 것을 알게 해줬다고 언급함."
남희두,0.95,"제가 기분이 안 좋은 날에도 나연이를 보면 저까지 기분이 좋아지는 워낙 또 사람이 밝고, 그래서 제가 어둡다가도 같이 있으면 밝아지는 느낌?",이나연,positive,attention,이나연을 보면 기분이 좋아지고 밝아지는 느낌이라고 언급하며 호감을 표현함.
남희두,0.95,ㅎㅎㅎ 제가 시합할 때 항상 보러 왔었어요. 나연이 올 땐 거의 이겼던 것 같아. 승리요정,이나연,positive,attention,"과거 이나연이 시합을 보러 왔을 때 승률이 높았다는 언급을 통해 긍정적 감정을 표현하고, 이나연을 '승리요정'이라고 칭찬하며 호감을 드러냄."
이나연,0.95,ㅎㅎㅎㅎ  그때는 그게 전부인 줄 알았어요. 행복했어.,,positive,attention,과거에 대한 회상과 행복했던 감정을 표현함.
이나연,0.95,와 진짜 큰일 났다. 무섭더라고요. 내가 이렇게 좋아해도 되나? 너무 멋있으니까 진짜 무서웠어요. 제마음이.,남희두,positive,emotion_expression,"자신이 느끼는 강한 호감에 대한 감정을 드러내며, 상대를 멋있다고 표현함."
남희두,0.95,"그리고 이 사람이 되게 나한테 힘이 되고 뭔가 기댈 수 있는 사람이구나 라는 걸 느낀 때가 있었는데, 제가 다쳤어가지고 병원을 같이 가게 됐어요. 국제 대회를 큰 대회를 나가는 시기였어서 그런 시기에 다치고 갑자기 수술해야 된다는 말을 들었을 때 너무 좌절감이 큰 거예요. 그래서 저도 모르게 눈물이 좀 많이 났는데, 그냥 말없이 안아주는 거예요. 그때 제가 처음 울었던 것 같아요, 나연이 앞에서.",이나연,positive,attention,"이나연에게 위로를 받은 경험을 이야기하며 고마움을 표현하고, 긍정적인 감정을 드러냄."
이나연,0.95,"뭔가 슬펐어요 애기처럼 우니까 애가 그리고 희두가 슬프면 정말 진심으로 같이 눈물이 막 나고 막 그랬어요, 되게 가족만큼 사랑했던 것 같아요.",남희두,positive,emotion_polarity,"남희두에 대한 깊은 애정과 공감을 표현하며, 가족만큼 사랑했다고 언급함."
남희두,0.95,"전 거의 가족이라고 생각했어요, 가족같이 가까운 사이였고, 가족처럼 믿을 수 있는 사이 그만큼 마음 연거는 처음이자 마지막이죠.",None,negative,attention,가족같이 가까웠던 과거 연인에 대한 그리움과 상실감을 표현하는 발언
이나연,0.95,야 밥 오랜만에 먹는다. 마주보고.아 어색해. 그동안 뭐.. 뭐.. 다른 사람은 안 만났나?,남희두,negative,attention,"남희두와 밥을 먹으며 어색함을 느끼고, 다른 사람을 만났는지 질문하며 관심을 보임"
남희두,0.95,"너? 응, 너랑 헤어졌다고 말했지.",None,negative,attention,전 연인(X)에 대한 언급
남희두,0.95,"자연스럽게 다 알게 됐지, 그래서 소개팅도 들어오고",None,neutral,relationship,소개팅 제안을 받았음을 언급하는 발언
남희두,0.95,했어?,None,None,None,상대방에게 어떤 행동의 완료 여부를 묻는 질문
남희두,0.95,할까 하다가,,neutral,undecided,특정 행동을 할지 말지 고민하는 중
남희두,0.95,안 했어?,None,neutral,question,상대방의 행동 여부를 묻는 질문
남희두,0.95,응.,,neutral,response,상대방의 발화에 대한 단순한 동의 또는 확인 응답.
남희두,0.95,"아, 나는 근데 좀 바빴어. 뭔가 누구를 또 만나고 그럴 여유가 없었어. 바빠서.",None,negative,불안,바쁜 일상으로 인해 다른 사람을 만날 여유가 없었음을 토로하며 심리적 부담감을 드러냄.
이나연,0.95,"진짜 자상한 사람이에요. 그러니까 행동으로 자상한데 만나면? 막 또 저를 혼내요. 그러면 데리러 와가지고 또 싸우고, 왜 이렇게 늦게 와라던지 오늘은 이게 뭐냐 이게 뭐냐 데이트하러 출발하다가 차 안에서 싸워서 그냥 내내 싸우다 집에 간 적도 있고, 제 생일날 애도 싸웠죠.",남희두,negative,갈등,상대방의 자상함에도 불구하고 잦은 다툼과 갈등으로 인해 힘든 감정을 토로함. 데이트 중 싸우거나 생일에 싸우는 등 부정적인 경험을 언급.
남희두,0.95,"배고파서 갔는데요. 아, 맛있겠다 이러고 이따가 시켜서 이런 음식 나오는데 가자, 그냥. 이 기분으로 뭘..  갔죠.",,neutral,일상,배고픔을 느껴 식당에 가서 음식을 시키고 맛있겠다는 생각을 함.
이나연,0.95,그 남양주 쪽 카페에 가서 주문하다가 싸워가지고 개인 플레이 따로 앉아가지고,None,negative,갈등,남양주 카페에서 주문하다 싸우고 각자 앉음
이나연,0.95,"어느 순간 희두를 내가 진짜 사랑했던 건 알겠는데, 내가 좋아했던 사람이었는데 과연 나한테 좋은 영향을 끼치는 사람이었을까? 이런 걸 생각하게 되더라고요.",남희두,negative,attention,"이나연은 남희두를 사랑했지만, 그가 자신에게 긍정적인 영향을 미쳤는지 의문을 제기하며 과거 관계에 대한 회의감을 드러내고 있다."
남희두,0.95,"되게 서로 감정이 너무 상하고, 더 이상 노력하고 싶지 않다는 생각이 들었어요.",None,negative,갈등,서로 감정이 상하고 더 이상 노력하고 싶지 않다는 감정을 표현함.
이나연,0.95,아예 저라는 사람을 좀 안 좋게 보는 느낌이었어요. 너는 나라는 사람을 있는 그대로 좋아해줄 수 없냐?,None,negative,갈등,"자신을 안 좋게 보는 상대방에 대한 서운함과 불만을 표현하며, 있는 그대로의 자신을 좋아해 줄 수 없는지에 대한 질문을 던지고 있다."
남희두,0.95,포기를 해야 되는데 이게 자꾸 신경 쓰이더라고요.,None,negative,attention,포기해야 하지만 계속 신경 쓰인다는 감정을 표현함.
이나연,0.95,"한 번은 비오는 날 우산 쓰고 엄청 싸웠는데 우산은 끝까지 씌워주더라구요, 제 쪽으로 약간 그런 애에요. 엄청 알 수 없지 않아요? 이 게시물이 나쁜 건지 착한 건지 알 수 없는.",남희두,ambivalent,relationship_experience,"과거 연애에서 비오는 날 우산을 씌워주던 행동에 대한 복합적인 감정을 표현하며, 상대방의 행동을 이해하기 어렵다고 말함."
이나연,0.95,약간 비참했어.,None,negative,emotion_polarity,화자는 자신의 감정이 비참했다고 표현하며 부정적인 감정을 드러냄.
남희두,0.95,왜?,None,neutral,question,상대방에게 이유를 묻는 질문
이나연,0.95,네가 날 싫어하는 것 같아서,None,negative,attention,화자는 상대방이 자신을 싫어한다고 느끼고 있다.
남희두,0.95,난 너를 싫어한 게 아니야. 그 상황이 진짜 싫었던 거지.,None,negative,갈등,"상황에 대한 불쾌감을 표현하며, 특정 인물에 대한 직접적인 부정은 부인함."
이나연,0.95,자꾸 너가 그 상황을 계속 만들고 싶어 하는 것 같아서,None,negative,갈등,상대방이 특정 상황을 의도적으로 조성하려 한다고 느껴 불쾌감을 드러냄.
이나연,0.95,마지막 헤어진거는 크리스마스도 앞두고 그래서 그냥 그 기념으로 여행을 가기로 했어요. 차에서 여행지를 막 정하는데,None,neutral,attention,"크리스마스 기념 여행 계획을 세우던 상황을 언급하며, 과거의 경험을 회상하고 있다."
남희두,0.95,내비를 쳤어요. 거의 3시간 넘게 걸리는 거예요.,,중립,상황설명,내비게이션에 3시간 넘게 걸리는 거리를 찍었다는 상황을 설명하는 발언.
남희두,0.95,"근데 거기 멀지 않아? 이래가지고 3시간이 얼마 안 걸린다는 게 아니라 다른 데랑 비슷하다. 다른 데보다 멀지 않다라는 뜻에서 얼마 안 걸리네 했는데, 걔는 이게 얼마 안 걸려? 이러면서",None,negative,불만,상대방의 오해로 인해 발생한 상황에 대한 불만을 토로하고 있다.
남희두,0.95,"그날따라 왜 이랬는지 모르겠는데, 내가 운전하고 그래도 먼 거리인데, 먼거 아니야 그냥 이런식으로 얘기를 하다가, 그게 싸움 시작된 거야. 진짜 아무것도 아닌 일인데",None,negative,갈등,사소한 일로 싸움이 시작된 상황에 대한 언급.
이나연,0.95,"그 막판에는 그냥 온통 희두가 저를 싫어한다는 느낌밖에 못 받았어요. 그냥 계속 마음속에 이렇게 싫어하는데, 날 왜 만나지? 이런 생각뿐이었거든요. 너 내가 생각하고 말하라 했지? 이러는 거예요.",남희두,negative,attention,"남희두가 자신을 싫어한다고 느꼈고, 남희두의 말투에 상처받음."
남희두,0.95,"너 그냥 그런 사람이야. 그냥 우리 안 맞는 거야. 배려심이 없이 있는 친구도 아닌데, 그런 말을 하니까 근데 그게 100% 진심은 아닐 거란 말이야.",None,negative,갈등,"상대방의 배려심 부족에 대한 불만과 관계의 부조화를 언급하며, 진심이 아닐 것이라는 추측을 드러냄."
이나연,0.95,"또 똑같이 반복이 될 거니까, 그러면 다시는 만나고 싶지 않아요.",None,negative,갈등,과거의 부정적인 경험 반복에 대한 거부감을 드러냄.
이나연,0.95,너 지금 난 미워?,None,negative,emotion_polarity,화자는 상대방이 자신을 미워하는지 질문하며 불안감을 드러내고 있다.
남희두,0.95,아니.,None,neutral,response,단순한 부정 응답
이나연,0.95,그러면? 아무 감정 없어?,None,negative,emotion_polarity,"상대방에게 감정이 없는지 되묻는 것으로, 서운함이나 불만을 표현하고 있다."
남희두,0.95,"흐음 미워했었지.  미워했었는데, 약간..",None,negative,emotion_polarity,과거에 느꼈던 미움의 감정을 표현하는 발언
남희두,0.95,남이 되는데? 남이어도 미워하고 싶지 않은 느낌?,None,negative,attention,남이 되었음에도 미워하고 싶지 않은 복잡한 감정을 드러냄.
이나연,0.95,흐음 밉지 않은 남 고맙다. 안 미워해줘서,남희두,positive,gratitude,자신을 미워하지 않는 상대방에 대한 고마움을 표현하는 발언
남희두,0.95,미워하고 싶은 사람은 아니지 솔직히.,None,negative,emotion_polarity,미워하고 싶지 않다는 감정을 표현함
남희두,0.95,나두 그래.,None,positive,sympathy,상대방의 의견에 동의하며 공감하는 발언
이나연,0.95,너가 이제 나 안 미워해서 다행이다.,None,positive,comfort,상대방에 대한 긍정적인 감정을 표현하며 안도감을 드러냄.
이나연,0.95,들어가서 재밌게 상처받지 않고 지냈으면 좋겠다.,None,positive,wish,다른 출연자들이 상처받지 않고 즐겁게 지내기를 바라는 마음을 표현함.
이나연,0.95,울지 않고,None,negative,emotion_polarity,부정적인 감정을 간접적으로 드러냄 (울지 않으려고 노력함)
남희두,0.95,아 솔직히. 너 오늘 보니까 반가워 반가운데 그 반가움에 속지 않을 거야,이나연,mixed,ambivalence,"남희두는 이나연을 다시 만난 것에 대해 반가움을 느끼지만, 감정에 속지 않으려고 경계하는 태도를 보인다."
남희두,0.95,너도 그렇고 나도 그렇고 그럼..,None,neutral,none,"상대방과 자신을 함께 언급하며 동의를 구하거나 상황을 공유하려는 발언으로 보이나, 감정적인 내용은 직접적으로 드러나지 않음."
남희두,0.95,하고 싶은 대로,,neutral,None,특별한 감정이나 의도가 드러나지 않는 평범한 발언
남희두,0.95,존중할게.,None,positive,None,상대방을 존중하겠다는 의사 표현.
이나연,0.95,서로 안 좋은 얘기하고 비난하고 미워하기 바빴는데 나를 좋은 사람으로 기억했구나를 새삼 느꼈어요.,None,negative,emotion_polarity,"과거 관계에서 부정적인 감정을 느꼈으나, 상대방이 자신을 좋게 기억한다는 사실에 새로운 감정을 느낌."
이나연,0.95,한 6번 정도 봤거든요.(편지),None,neutral,attention,편지를 여러 번 읽었다는 언급을 통해 편지에 대한 관심과 집중을 드러냄.
이나연,0.95,계속 볼 때마다 눈물..,None,negative,emotion_polarity,눈물을 흘리는 감정을 표현하며 부정적인 감정을 드러냄.
이나연,0.95,아니 X가 뭘 잘못 먹었는지 저한테 엄청 호의적인 거예요. 기대가 되나? 아무튼 저한테 자기랑 데이트 뭐 하고 싶냐고 하겠다고 한 적도 없는데 그래서 얘가 왜 이러지?,,positive,attention,X에 대한 호감과 궁금증을 드러내고 있다.
이나연,0.95,나는 새로운 사람한테 마음이 간다.,None,negative,attention,새로운 사람에게 마음이 간다고 말하며 감정적인 변화를 언급함.
이나연,0.95,조금 편했어요 저는. 누군가를 알아갈 때 눈치를 안 보고 알아갈 수 있으니까 이제는 좀 더 다정한 사람을 만나고 싶다는 마음이 컸거든요. 정말 부드러운 그런 매력이 있어요. 부드럽게 저를 되게 귀여워해주시고 챙겨주시고 그래서 사랑받는 느낌이 저는 좀 들었어요. 만약에 X가 있었으면 쉽게 다가가지 못했을 것 같아요.,None,positive,attention,"새로운 사람을 알아가는 과정에서 편안함을 느끼고, 다정하고 부드러운 매력을 가진 사람에게 호감을 느낌. X가 있었다면 쉽게 다가가지 못했을 것이라고 언급하며 현재 감정에 집중하는 모습."
이나연,0.95,좀만 더 늦게 와도 괜찮겠다? 데이트 상자 데려왔어요. 제가 지금. 남자가 왔어요?,None,neutral,dating,이나연이 데이트 상자를 언급하며 남자가 왔는지 묻고 있다.
이나연,0.95,남자가 왔다고요? 제가 전 2층에 있었거든요. 새로운 분이 오셨다고 인사를 하래가지고 갑자기 이 시간에?,None,중립,상황설명,새로운 남성 출연자의 등장에 대한 놀라움과 상황에 대한 의아함을 표현.
이나연,0.95,나의 데이트 상대 빨리 반겨줘야겠다 하고 내려갔죠?,None,positive,initiative,"데이트 상대를 반겨줘야겠다는 긍정적 감정을 표현하며, 관계 형성에 대한 적극성을 드러냄."
이나연,0.95,둘이 왜 같이 오지?,None,궁금,attention,다른 출연자들의 관계에 대한 궁금증을 드러냄.
이나연,0.95,뭐지?,,neutral,none,화자가 상황에 대해 의문을 표현하는 발언
이나연,0.95,저 쳐다도 안 보더라고요.,None,negative,attention,상대방이 자신을 쳐다보지 않는 것에 대한 부정적인 감정을 드러냄.
이나연,0.95,아 이런 거였구나. 그동안 다들 이랬는데 나만 즐거웠구나.,None,negative,emotion_polarity,자신만 즐거웠다는 사실에 대한 충격을 드러냄.
남희두,0.95,왜냐면 오자마자 감정이 안 좋더라고 모르는 사람은 어떻게 느낄지 모르는데 아무튼 저는 알잖아요.,이나연,negative,attention,"남희두는 이나연의 감정 상태가 좋지 않음을 감지하고, 그 이유에 대해 궁금해하며 걱정하고 있다."
