speaker,confidence,text,target,sentiment,category,summary
UNKNOWN,,[#환승연애2] 영원할 줄 알았던 첫사랑의 마침표... 과몰입하게 되는 규민X해은 모음 | #나중에또볼동영상.m4a SCENE1 00:00 - 22:00 ------------------,정규민,neutral,N/A,환승연애2 영상 클립에 대한 정보 제공.
성해은,,왜 이렇게 늦게왔어?,,neutral,none,상대방의 도착 시간에 대한 질문
정규민,,그러게...춥다 밖에 그치? 휴지 없나?,,neutral,일상 대화,날씨가 춥다는 언급과 휴지를 찾는 발언
성해은,,(눈물을 흘리며) 보고 싶었어.,,negative,emotion_expression,성해은이 눈물을 흘리며 보고 싶었다고 말함.
정규민,,(애써 표정 갈무리하며)잘 지냈어? 그만 울어. 나까지 울리겠다.,,negative,emotion_expression,"정규민이 상대방에게 울지 말라고 하며, 자신까지 울릴 것 같다고 말함."
성해은,,너가 웃어줄지 아닐지 궁금했거든. 웃어줘서 고마워. SPEAKER_3 나도 보고 싶었어. 네가 어떻게 지내는 지도 궁금하고. 어땠어? 처음에 이거(환승연애 프로그램) 연락받고 어땠어?,정규민,positive,initiative,"상대방에게 웃어줘서 고맙다고 표현하며, 보고 싶었다고 말하고, 어떻게 지냈는지, 프로그램 연락을 처음 받았을 때 어땠는지 질문하며 적극적으로 대화를 주도하고 있다."
성해은,,너 전화가 놀랐지. 생전 울리지도 않던 정규민이 휴대폰 화면에 뜨니까 SPEAKER_3 내 전화번호 저장은 돼 있었어? SPEAKER_1 당연하지 너는 지웠어?,정규민,negative,emotion_polarity,"정규민의 전화에 놀랐다는 감정을 표현하며, 정규민이 자신의 전화번호를 저장했는지 묻고, 상대방에게는 자신의 번호를 지웠는지 되묻는 발언에서 서운함이 느껴진다."
정규민,,"나 있어, 그대로.",,neutral,none,정규민은 현재 상황에 변화 없이 그대로 있음을 표현함.
성해은,,당연하지. 난 원래 안 지우잖아.,,neutral,statement,상대방의 이전 행동에 대한 언급.
정규민,,근데 그래도 내가 생각했던 것보다는 너 긴장 안 하는 것 같은데? 괜찮은 것 같은데?,,positive,observation,정규민은 상대방이 생각보다 긴장하지 않은 것 같다고 말하며 괜찮은 것 같다고 긍정적으로 평가함.
성해은,,많이 컸지?,,neutral,none,"성해은의 발화는 감정적인 내용이나 특정 인물에 대한 관심, 관계 형성을 주도하려는 의도가 드러나지 않습니다."
정규민,,진짜 많이...자랐네.,,neutral,observation,"정규민이 상대방의 변화에 대해 언급하며, 성장했음을 인지하는 발언을 함."
정규민,,우리가 나이가 진짜 많이 먹었다.,,neutral,relationship,정규민이 나이가 많이 먹었다는 사실을 언급하며 대화의 분위기를 환기시키고 있다.
성해은,,그치? 진짜 우리 21살에 만났는데 29살이야...!,,neutral,none,21살에 만나 29살이 된 상황에 대한 언급.
정규민,,그러니까... 2014년 1월에 21살 때거든요. 미팅에서 만났어요. 4대4였던 걸로 기억합니다.,성해은,neutral,event_description,"2014년 1월, 21살 때 미팅에서 성해은을 처음 만난 상황을 설명하고 있다."
성해은,,"스무 살 때 아무랑도 연애 한 번도 안 해보고, 아 스무한 살 때는 드디어 제발 연애 한 번 하자 하고 과팅 처음 들어오는 거를 처음 나갔어요.",,중립,개인적인 경험,"스무 살, 스무한 살 때 연애 경험에 대한 이야기"
정규민,,파트너를 보통 정하잖아요. 소지품으로 했던 것 같아요. 좀 올드스쿨하지만 뭔가 하나가 그 친구 거 같은 거예요.,,neutral,event_description,"정규민은 파트너를 정하는 방식으로 소지품을 이용한 방식을 설명하며, 특정 소지품이 특정 친구의 것 같다고 언급한다."
성해은,,제가 니베아 립밤을 했었거든요. 그걸 어떻게 근데 규민이가 골라가지고 저 진짜 제발 제발 내꺼 골라라 골라라 이렇게 하고 있었는데,정규민,positive,attention,성해은은 정규민이 자신의 립밤을 고르기를 간절히 바랐다고 말하며 정규민에 대한 호감을 드러냄.
정규민,,확실히 뭔가 느낌이 와서 뽑았어요. 순수하다 귀엽다 이런 느낌을 많이 받았었던 것 같아요.,성해은,positive,emotion_expression,정규민은 상대방에게 순수하고 귀엽다는 느낌을 받았다고 표현하며 호감을 드러냄.
성해은,,한강에서 규민이가 엄청 망설이면서 우리 만날래? 이렇게 했었던 것 같아요. 내 손 잡아서 자기 주머니에 넣었을 때 그 안에 핫팩이 있었거든요. 그 온기가...그 온기와 감동이 아직까지 남아있어요.,정규민,positive,emotion_polarity,규민과의 과거 데이트 회상하며 따뜻함과 감동을 느낌.
정규민,,그게 군대 가기 80일 전이었던 것 같아요 그래서 나 군 입대까지 얼마 남지 않았는데 지금 뭐 이렇게 얘기해서 미안하지만 우리 만날 수 있을까? 괜찮을까? 라고 했는데 해은이가 고민을 하다가,성해은,중립,상황 설명,"군 입대를 앞두고 성해은에게 만남을 제안했던 과거를 회상하며, 당시 성해은이 고민했던 상황을 언급함."
성해은,,아 나 사귀어도 되나? 이러면서 한두 시간을 걸으면서 고민하고 2시간 정도 뒤에 오케이.,,neutral,undetermined,과거 회상 중 사귀기로 결정하기까지의 고민 과정을 언급함.
정규민,,그때부터 만났었던 것 같아요. 첫사랑이라고 하면 될 것 같아요.,,neutral,attention,"정규민은 과거 연애에 대해 이야기하며, 첫사랑 상대를 언급함."
성해은,,"21살 때 규민이가 첫 남자친구예요. 규민이가 군대 가기 전 까지 그 두 달, 세 달 동안의 데이트가 눈물의 데이트였어요.",정규민,negative,attention,"정규민과의 과거 연애를 회상하며 눈물의 데이트였다고 언급, 부정적인 감정을 드러냄."
정규민,,"해은이와 거의 매일 만났어요. 거의 군대 가기 전까지 일주일에 4번 이상은 만난 것 같아요. 해은이가 군대 면회를 정말 한 번도 안 빠지고, 저 보려고 매 주말마다 왔던 것 같아요.",성해은,positive,attention,"정규민은 성해은과 군대 가기 전까지 거의 매일 만났으며, 성해은이 군대 면회를 한 번도 빠지지 않고 매 주말마다 왔다고 언급하며 성해은에 대한 애정을 드러냈다."
성해은,,"딱 1호선의 끝과 끝으로, 아예 주말에 출근하듯이 매일매일 왕복 4시간. 금요일 밤에는 규민이 면회 갈 생각에 잠을 못 잤어요. 그 이틀 데이트 한 걸로 또 일주일 버티고 그 힘으로 매주 지냈어요. 군대 면회실에서 알콩달콩 그냥 대화하고 같이 있기만 해도 너무 좋은 거죠. 그 시간이 빨리 가기만을 일단 기다렸고 규민이와 헤어질 수 없으니까 (면회실에 온 규민을 만나며)아 귀여워!",정규민,positive,attention,"성해은은 정규민과의 데이트와 면회를 통해 힘을 얻고, 함께 있는 시간을 매우 소중하게 생각하며 '귀여워'라고 표현하는 등 긍정적인 감정을 드러냄."
정규민,,군인 시절에 그 친구가 인터넷 편지 써줬던 것도 다 있고 손편지도 다 있고. 진짜 많아요 정말 많은데,,neutral,attention,군인 시절 친구가 편지를 많이 써줬다는 언급을 통해 과거 인물에 대한 기억을 회상하고 있다.
성해은,,"기념일이면 도시락 싸서 가고 크리스마스 선물 사 갔고. SPEAKER_3 너무 고마웠죠 처음에 사실 너무 보고 싶었는데 매번 와주니까 너무 고맙고 해은이가 노력을 많이 했었던 것 같아요. SPEAKER_1 되게 좋은 추억으로 남아있어요. 그냥 나는 현실 상황 플러스 네가 여기 있는 게 안 믿겨. 이거 아니었으면 나랑 밥 안 먹었을 거잖아. 너랑 오래 만나서 그런가 너 생각이 지워지진 않더라. SPEAKER_3 그치, 어디를 가던지 다 있잖아 추억이. SPEAKER_1 너랑 못 해본 게 너무 많더라고 지금 생각해보니까. 난 좋은 날이나 기념일이나 해주고 싶을 때도 막 아꼈던 게 좀 후회됐어. SPEAKER_3 난 좋았는데. SPEAKER_1 좋았어? SPEAKER_3 응 SPEAKER_1 제가 승무원 준비할 때가 저의 인생에서 아직까지는 제일 힘들었던 시기라고 생각해요. 규민이한테 뭐라고 말도 못하겠고, 연락을 아예 안 하고 잠수를 타고 있었는데 규민이는 '알았어. 기다릴게. 마음의 준비 다 되면 그때 연락해' 라고 했었는데, 제가 드디어 승무원에 붙은 거예요. 규민아, 만나자 할 말 있어. 라고만 했었는데, 규민이가 그때 그냥 꽃 들고 나와줬어요. 제가 붙었다는 걸 그냥 감지했었대요.",정규민,positive,memory,"과거 기념일에 도시락을 싸주고 크리스마스 선물을 사줬던 기억, 승무원 준비 당시 힘들었던 시기에 연락을 끊었음에도 기다려주고 합격 후 꽃을 들고 나와줬던 규민에 대한 고마움을 표현하며 좋은 추억으로 남아있다고 회상한다."
정규민,,"여행을 자주 갔어요. 해은이랑 거의 1년에 한 번씩은 갔던 걸로 기억을 하는데, SPEAKER_1 저는 진짜 내 세상이 그냥 다 규민이고, 내 처음 모든 게 다 규민이니까, 규민이가 없으면 안 될 줄 알았어요. 그때는 진짜 오매불망 규민이밖에 몰랐어요.",성해은,negative,attention,"정규민은 성해은과 여행을 자주 갔던 과거를 회상하며, 당시에는 성해은이 전부였고 없으면 안 될 줄 알았다고 말하며 과거에 대한 감정을 드러냄."
정규민,,둘의 추억이 담긴 영상이 하나씩 있는 게 되게 좋더라고요. 어디 이제 여행 갈 때마다 영상 찍어가지고 남겨뒀던 것 같아요.,성해은,positive,attention,"정규민은 성해은과의 추억이 담긴 영상을 좋게 생각하며, 여행 갈 때마다 영상을 찍어 남겼다고 회상한다."
성해은,,"규민이가 저를 그냥 남겨주고 싶어서, 저를 많이 찍었었어요.",정규민,negative,emotion_polarity,정규민에 대한 부정적인 감정을 드러냄. 과거 정규민의 행동에 대한 속상함을 표현.
정규민,,"이게 제 연애 기간이 너무 길어서 그런 건지 모르겠는데, 너무 잘 맞았거든요. 사실 항상 좋았던 것 같아요.",정규민,positive,attention,"정규민은 과거 연애에 대해 '너무 잘 맞았다', '항상 좋았다'고 말하며 긍정적인 감정을 표현하고 있다."
성해은,,"너무 저를 성장시켜주고, 좋은 연애였거든요.",,positive,relationship,화자는 과거 연애가 자신을 성장시켜준 좋은 경험이었다고 긍정적으로 평가하고 있습니다.
정규민,,"해은이라는 사람 자체가 워낙 발랄하고, 해은이랑 같이 있을 때가 제일 재밌었던 것 같아요.",성해은,positive,relationship,정규민은 성해은이 발랄하고 함께 있을 때 가장 재미있다고 언급하며 긍정적인 감정을 표현함.
성해은,,오래 사귀었다고 해서 소홀해지거나 지루하거나 질린 게 전 한 번도 없었어요.,정규민,negative,attention,"오래된 연애에 대한 긍정적 감정을 언급하며, 소홀함이나 지루함을 느낀 적이 없다고 말함. X에 대한 감정을 간접적으로 드러냄."
정규민,,"20년 2월에 헤어졌던 게 그때 제가 이제 되게 아팠었어요. 그때 뮤직비디오 찍고 막 그러던 되게 정신없는 시기에 너무 아파서, 아침에 일어났다 쓰러지고. 그때 당시에 그 친구가 이제 저한테 연락을 했는데",,negative,attention,"정규민은 20년 2월에 헤어졌을 당시 몸이 매우 아팠고, 뮤직비디오 촬영으로 정신없는 시기에 쓰러지기도 했다고 언급하며, 당시 전 연인(X)이 연락을 해왔었다고 회상한다."
성해은,,"자기 나 안 궁금해? 나 어디 가는지 왜 안 궁금해? 제가 어디에 가든 뭘 하든, 규민이가 절 궁금해하지 않았어요.",정규민,negative,emotion_polarity,규민이 자신에게 무관심한 것에 대한 서운함과 속상함을 드러냄.
정규민,,"지금까지 사실 많이 쌓인 것도 있었고, 거기서 그냥 뭔가 툭 끊기듯이 그냥 이 친구랑 안 되겠다 해서 그날 바로 연락을 했던 것 같아요. 전화로 그냥 그만하자고.",,negative,attention,"정규민은 과거 연인과의 관계가 갑작스럽게 단절되었음을 언급하며, 전화로 이별을 통보했다고 말한다."
성해은,,그냥 받아들였어요 그때. 그렇게 끝났어요.,정규민,negative,attention,과거 연애의 끝을 회상하며 체념적인 어조를 드러냄.
정규민,,"그래서 실망을 많이 하기도 했었고, 그때 많이 힘들었었죠. 그냥 심적으로",,negative,emotion,정규민은 과거에 실망과 힘든 감정을 느꼈다고 언급하며 심적으로 어려움을 겪었음을 표현했다.
성해은,,"근데 무엇보다 그 이별을 받아들이게 된 건 같이 있을 때 더 외로웠어요. 규민이 눈빛이나 대화하는 거나 손도 같이 잡는 게 아니고, 나만 잡고 있고, 그냥 그래서 제가 이렇게 운적 되게 많거든요, 같이 있으면서? 너무 확 체감이 되니까.저는 그때가 겨울인데, 너무 아픈 기억이라서 그 이후로 겨울은 너무 싫은 계절이 되었어요. 되게 추웠거든요. 마음도 추웠고, 그냥 그때 진짜 끝이구나? 그때는 진짜 붙잡을 여력이 없더라고.",정규민,negative,emotion_polarity,"함께 있을 때 더 외로움을 느껴 이별을 받아들이게 되었고, 규민의 무관심한 태도에 힘들어했다. 겨울에 이별한 후 겨울을 싫어하게 되었다."
정규민,,제가 좀 차가웠다고 해야 되나? 되게 미워할 수도 있을 것 같고.,,negative,emotion_polarity,"자신이 차가웠을 수 있다는 점과 상대방이 자신을 미워할 수도 있겠다는 생각에 대한 발언으로, 부정적인 감정을 드러냄."
성해은,,"규민이를 제가 그렇게 만든 거고, 아쉬움이 많이 남아요. 다 나 때문이니까. SPEAKER_3 그때는 너무 생각이 어렸고, 좀 너무 미성숙했죠. SPEAKER_1 그래서 미련이 더 남아요. 첫사랑에 미련이 더 남아요. SPEAKER_3 너를 생각하면 떠오르는 일, 나 승무원 준비할 때의 우리. 내가 붙었을 때, 너네 가족한테 알려주고 싶어서 새벽 6시에 일어나서 잠을 못 잤다는 거야. 알려주고 싶어서.",정규민,negative,self-blame and regret,"성해은은 과거 정규민과의 관계에서 자신의 미성숙함으로 인해 관계를 망쳤다고 자책하며 아쉬움과 미련을 표현하고, 첫사랑에 대한 미련을 드러낸다. 또한 승무원 준비 시절 정규민과의 추억을 회상하며 그리워한다."
정규민,,가족들이랑 밥 같이 먹으려면 그쯤 일어나야 되거든,,neutral,일상,가족 식사를 위해 일어나는 시간에 대한 언급.
성해은,,"그것도 너무 고마웠지. 너무 내일처럼 기뻐해주고, 진짜로 나를 생각했던 사람이니까, 그게 너무 고마워.(눈물을 흘리며)",,positive,emotion_polarity,상대방이 자신을 생각해주는 마음에 대한 고마움을 표현하며 긍정적인 감정을 드러냄.
정규민,,"내가 그랬구나, 그때. 진짜 많이 좋아했었나보다. SPEAKER_1 왜 나 따라해.",성해은,negative,attention,"정규민이 과거 성해은을 많이 좋아했음을 언급하며, 과거 회상에 잠김. 다른 출연자의 행동에 대해 언급함."
정규민,,아 이게..(눈물을 흘리며),,negative,emotion,정규민이 눈물을 흘리며 힘들어하는 감정을 표현함.
성해은,,이거 봐(눈물 닦은 휴지를 규민에게 보여주며). ㅎㅎㅎㅎㅎ 주르륵,정규민,negative,emotion_polarity,"눈물을 보인 후 웃으면서 휴지를 보여주는 행동에서 복잡한 감정이 드러나며, 부정적인 감정이 있음을 알 수 있다."
성해은,,그럼 또 지금까지 헤어지고 나를 어떻게 돼? 미웠어 내가?,정규민,negative,attention,정규민에게 헤어진 후 자신을 미워했는지 질문하며 불안감을 드러냄.
정규민,,밉기도 했고 미련도 있었고. SPEAKER_1 미련도 있었어?,,negative,emotion_polarity,정규민은 과거 연애에 대한 미련과 부정적인 감정을 동시에 드러냄.
정규민,,그럼...사실 뭐 관계가 망가진 게 진짜 한쪽만의 책임은 절대 아니니까. --------- SCENE2 22:00 - 24:40 ------------------,,neutral,statement,관계가 망가진 것은 한쪽의 책임만은 아니라는 의견을 표현함.
정규민,,그때는 좀 놀랐죠 아..오나 보다.,,neutral,attention,"""오나 보다""라는 언급을 통해 특정 인물에 대한 주목을 표현했지만, 감정적인 방향성은 중립적임."
성해은,,"갑자기 제가 나타났는데 규민이가 엄청 놀라겠다, 얼마나 놀랄까, 어떤 마음일까, 나 보고. 안녕하십니까. 안녕하세요.",정규민,불안,attention,성해은이 갑작스러운 자신의 등장에 정규민이 놀랄 것 같다는 생각과 그 심정에 대한 궁금증을 드러냄. 정규민에 대한 감정적 초점이 드러남.
정규민,,"저는 정규민이라고 하고. SPEAKER_1 반갑습니다 SPEAKER_3 먼저 달려가서 마중 나가기보다는 다른 사람들 나갈 때까지 기다렸다가 좀 천천히 나갔던 것 같아요. 그냥 엄청 멀찍이서 이제 약간 '안녕하세요?' 이런 느낌으로. 해은이가 등장하고 난 거가 신경을 크게 안 쓰려고 노력하기도 했고, 실제로도 신경이 크게 안 쓰이기도 했고. SPEAKER_1 지금 남자들이 다 간 거야, 나 왔는데? 좀 그렇긴 하다, 그쵸? SPEAKER_3 (규민이 해은 옆을 지나쳐감) (해은이 규민을 바라보며) SPEAKER_1 남자분들이 다들 일찍 방에 들어가셨어요. 여자들 4명이서만 술 마셨어요. 규민이는 저 본체도 안 했고요. 그래서 그게 상처가 되게 컸던 것 같아요. 너무하죠. SPEAKER_3 규민은 조용히 해은의 캐리어를 해은 몰래 해은의 방으로 옮긴다. 해은은 규민을 의식하며 거실을 서성인다. ---------------- SCENE3 24:40 - 26:43 ------------------ 데이트를 아무와도 나가지 않고 혼자 방에 남은 해은. 나연과 데이트를 나가는 규민을 보는 해은. 두 사람에게 애써 웃으며 배웅하지만, 나연과 규민이 사라지자 해은은 화장을 하면서 슬픈 감정을 추스린다.",성해은,negative,emotion_polarity,"해은이가 등장했을 때 신경을 안 쓰려고 노력했지만, 남자들이 다 방에 들어가고 해은이 자신을 쳐다보지도 않아서 상처를 받았다고 말함."
성해은,,"규민이가 저 혼자 있는 것도 봤을 텐데.(눈물을 흘리며) 그리고 이거 진짜 다 그냥 우연히 이렇게 된 거잖아요. 첫날부터... 나연님이 제가 봤을 때는 규민이가 마음에 든다고 하시고, 두 사람이 데이트도 나가는 모습도 보고 어우 근데 그런 거랑 상관없이 일단 너무 속상했어요. 속마음 문자 보내는 중",정규민,negative,emotion,성해은은 정규민이 혼자 있는 것을 봤을 텐데 우연히 이렇게 된 상황에 대해 속상함을 느끼며 눈물을 흘림. 특히 첫날부터 이나연이 정규민에게 호감을 표현하고 데이트하는 모습에 더욱 속상해함.
정규민,,"나연이한테 보냈어요. 같이 하루 종일 데이트하고, 마지막에 술도 같이 마시면서 여기 들어오고 나서 제일 크게 호감을 느끼고, 제일 재밌고 즐거웠어요. 좀 설렜던 것 같아요. 그래서 되게 좋기도 했고, 왜 이렇게 그...무장해제 되는지 모르겠어요.",,positive,emotion_expression,"정규민은 나연과의 데이트가 즐거웠고 설렜으며, 나연에게 호감을 느꼈다고 표현함."
이나연,,규민 님한테 문자했죠. 규민 오빠한테. 이제 오빠라고 불렀어요. 데이트때부터 너무 당연하게 보냈어요. 저는. 너무 좋았기 때문에. 해은이 규민에게 문자를 보냈다.,정규민,positive,emotion_polarity,"규민에게 호감을 느껴 문자를 보냈고, 오빠라고 부르기 시작하며 데이트가 좋았음을 표현함."
정규민,,좀...의아하다. 왜? 왜 나를? 그런 느낌?,,negative,불안,자신에게 호감을 보이는 이유에 대한 의아함과 혼란스러움을 표현하며 불안감을 드러냄.
성해은,0.95,"저는 어쨌든 제 마음은 규민이라는 게 변함이 없어서 어쩔 수 없이 규민이한테 보내게 됐어요. 어쨌든 걔는 데이트를 하고 왔을 거잖아요. 너무 재밌.. 받지 않았으면 하는 마음에 적당히만 재밌게 놀고 왔길 바라라고 보냈어요. 그래서 앞에 있는 사람을 두고 다른 사람한테 보낸다는 게 진짜 너무 이러면 안 될 것 같았는데, 제 마음이 계속 규민이다 보니까, 제 앞에 있는 히두씨를 고르기에는 저를 속이는 것 같아서 그냥 예의상 보내는 건 저는 아닌 것 같아서 어쨌든 제 솔직한 마음은 계속 규민이인 게 변함이 없으니까 규민이한테 보냈고, 재료 마냥 좋았지만은 않았어요. 그냥 계속 규민이 생각이 계속 컸었던 것 같아요.",정규민,negative,emotion_polarity,"성해은은 자신의 마음이 정규민에게 향해있어 어쩔 수 없이 정규민에게 메시지를 보냈으며, 다른 사람에게 보내는 것이 옳지 않다고 생각하면서도 마음이 계속 정규민에게 향해있어 솔직한 마음을 따랐다고 말함. 데이트를 하고 왔을 정규민이 너무 재밌게 놀지 않았기를 바라는 마음을 표현하며, 정규민에 대한 마음이 계속 컸다고 언급함."
Unknown,0.0,감사합니다.,,positive,emotion_polarity,감사 인사를 통해 긍정적인 감정을 표현함.
성해은,0.95,너무 너무 좋음. 알고 있었어. 예상은 그래도 하고 있었는데 무너지는 것 같았어.,,mixed,emotion,성해은은 좋음과 무너지는 감정을 동시에 느낌. 예상은 했지만 무너지는 감정을 느낌.
성해은,0.95,근데 안 보내는... 그게 아니고... 그 표에 행방이 너무나도 또렷해 보여서 그래서 아쉬웠어요.,정규민,negative,attention,"상대방의 표정에서 자신의 감정이 너무 드러나 보이는 것에 대한 아쉬움을 표현하며, 부정적인 감정을 드러냄."
성해은,0.95,이제 혜윤 님.,,neutral,none,성해은이 다른 출연자(혜윤)를 언급함
Unknown,0.0,うんね.,,neutral,no emotion,상대방의 말에 대한 짧은 동의 또는 확인.
Unknown,0.0,정답!,,positive,response,정답이라고 긍정적으로 반응함
Unknown,0.0,"나 동감일 것 같아요. 아냐, 스물일곱 정답, 스물... 아니야, 아니야, 스물이 어떻게 돼?",,neutral,unsure,나이를 확인하는 과정에서 혼란스러워하는 발언.
성해은,0.95,"감사합니다. 저 옮기면 될까요? 네, 아, 진짜?",,positive,social,"상대방에게 감사 인사를 전하고, 상황에 대한 질문에 답하며 대화를 이어가려는 모습에서 긍정적인 태도가 드러난다."
Unknown,0.0,"여기 딱 사이다. 반갑다, 친구야. 저랑 옮기시죠.",,positive,social,사이다를 마시며 친구에게 반가움을 표현하고 함께 자리를 옮기자는 제안을 하는 발언
Unknown,0.0,둘은 나이 알구나.,,neutral,general,나이를 알고 있는지에 대한 질문
Unknown,0.0,여기!,,neutral,response,단순한 응답 또는 지시를 나타내는 발화입니다.
Unknown,0.0,"아, 잠시만요, 수고하셨습니다.",,neutral,일상,상대방의 수고에 대한 감사 표현
Unknown,0.0,"너 떨려. 뭐라고 떨려? 근데 27이라니까? 27이야, 26이야.",,neutral,age_inquiry,화자는 상대방에게 떨리는 이유를 묻고 나이를 확인하고 있다.
Unknown,0.0,사실 266789 맞죠?,,neutral,none,특정 사실 여부를 확인하는 중립적인 질문
성해은,0.95,음.. 그러면 저는 찍었네요.,,neutral,none,자신이 무언가를 선택했음을 간접적으로 언급하는 발언.
Unknown,0.0,어두운 아이돌이야?,,neutral,Uncategorized,아이돌의 콘셉트에 대한 질문
Unknown,0.0,헐!,,neutral,reaction,"화자는 놀라움을 표현하는 감탄사를 사용했지만, 특정 감정이나 대상에 대한 언급은 없습니다."
Unknown,0.0,진짜 동안이시다.,,positive,compliment,상대방의 외모에 대한 칭찬.
Unknown,0.0,너 진짜 너무 흥미로워.,,positive,emotion_polarity,화자가 상대방에 대해 흥미를 느끼고 있다고 표현함.
Unknown,0.0,저 6기 아저씨가..,,neutral,mention_other,화자가 다른 출연자를 언급함
성해은,0.95,유일한 동갑이네.,정규민,neutral,relationship,정규민이 유일한 동갑이라는 사실을 언급하며 친밀감을 표현하려는 발언
성해은,0.95,"이 시드님, 이 시드님.",,neutral,mention_other,이시드 님을 언급함.
Unknown,0.0,"바로 말하면 돼요? 아니, 앉아요. 여러분 와서 앉아요. 그럼 어린가 보다.",,neutral,uncategorized,"출연자들에게 앉으라고 권유하며, 상대방의 나이를 짐작하는 발언을 함."
성해은,0.95,"알고 보니 궁금하네. 아니, 알고 보니 엄청 많을 수도 있어요.",,neutral,uncertainty,새로운 사실에 대한 궁금증과 그로 인한 다양한 가능성에 대한 언급
Unknown,0.0,"제일 연장자로 추정하시던데 시청해주셔서 감사합니다. 가끔 어려 보이고 싶기도 하긴 한데, 아, 근데 저는 익숙해서 땜에 롯데 오펜하이킹 적어 보이진 않는데? 저 딱 중간에 감사합니다.",,neutral,self_description,"자신을 소개하며 시청자에게 감사 인사를 전하고, 가끔 어려 보이고 싶지만 현재 나이에 익숙하다고 말함."
Unknown,0.0,친구 친구 그치? 그치? 스물여섯? 진짜 동마비예요?,,neutral,relationship,"상대방의 나이와 직업에 대해 질문하며, 친구 관계임을 확인하는 발언."
정규민,0.9,"네, 맞아요, 아, 아파 나 그럼 잠깐만, 내가 최연장자야?",,negative,emotion_polarity,"""아파""라는 단어를 통해 부정적인 감정을 드러냄."
성해은,0.95,너가 지금 최언니야? 최언니? 나연아.,,neutral,none,성해은이 나연에게 최언니인지 묻는 질문.
성해은,0.95,"말 놔도 되지, 안녕히 계세요, 아니, 나 오늘 스케이트 탔단 말이야. 오늘 스케이트 어땠어? 진짜 잘 타. 언니는? 나도 잘 타. 둘은 잘 탔네? 근데 손 잡고 탄 거 아니야? 손을 잡고 탔다고? 아니, 끌어줬어.",,neutral,일상 대화,"성해은이 스케이트 탄 경험에 대해 이야기하며, 다른 사람들의 스케이트 경험을 묻고 손을 잡고 탔는지 질문함."
Unknown,0.0,"으음, 눈썹이 너무 아파, 감사합니다.",,positive,emotion_expression,눈썹 통증을 호소하며 '감사합니다'라고 말함.
Unknown,0.0,안녕. 서로 엑스랑 데이트 했네요? 그러네요.,,neutral,attention,상대방과 서로 전 연인과 데이트한 사실을 언급하며 대화를 시작함.
Unknown,0.0,하필 왜 서로 둘이 눈물...,,negative,emotion_polarity,눈물을 보이는 상황에 대한 부정적 감정 표현
성해은,0.95,내 터널을 구축하라고 이걸 사줘가지고 와 진짜...,,negative,emotion_polarity,누군가가 터널을 구축하라고 사준 것에 대한 불만을 표현하고 있습니다.
Unknown,0.0,롱 엄청난 데이트를 하셨더라고요?,,neutral,none,상대방의 데이트에 대해 언급하는 발언
Unknown,0.0,"롯데월드 전체 대관을 해서 나도 롯데월드 가고 싶다고 했는데, 저는 X랑 4년 가까이를 만나면서 스케이트장을 딱 한 번밖에 안 가봤어요.",,negative,attention,X와 4년 가까이 만났지만 스케이트장을 한 번밖에 가지 못한 경험에 대한 아쉬움을 드러냄.
